documento,titulo_documento,paginas,paginas_con_texto,paginas_sin_texto,caracteres,palabras_aproximadas,chunks
documento_fuente.pdf,Reglamento de la Gestión Académico-Administrativa de la Universidad de El Salvador,62,62,,173419,26119,217
ley_organica_ues.pdf,Ley Orgánica de la Universidad de El Salvador,21,21,,76750,11745,96
reglamento_arancel_academico_ues.pdf,Reglamento General de Arancel Académico de la Universidad de El Salvador,4,4,,6735,1062,9
reglamento_becas_ues.pdf,Reglamento de Becas de la Universidad de El Salvador,15,15,,49760,7929,63
reglamento_disciplinario_ues.pdf,Reglamento Disciplinario de la Universidad de El Salvador,11,11,,40076,6196,51
reglamento_electoral_ues.pdf,Reglamento Electoral de la Universidad de El Salvador,26,26,,64015,10246,81
reglamento_general_ley_organica_ues.pdf,Reglamento General de la Ley Orgánica de la Universidad de El Salvador,25,25,,89492,14028,112
reglamento_sistema_escalafon_personal_ues.pdf,Reglamento General del Sistema de Escalafón del Personal de la Universidad de El Salvador,29,29,,90940,14156,114
reglamento_unidades_valorativas_cum_ues.pdf,Reglamento del Sistema de Unidades Valorativas y de Coeficiente de Unidades de Mérito de la Universidad de El Salvador,6,6,,17218,2782,22
TOTAL,9 documentos,199,199,,608405,94263,765
